-1.48242;2.17831;-197.36809;-21.08241
0.1211;1.57594;-196.22814;-19.64588
0.47552;1.24205;-199.49934;-18.89297
-0.07238;1.69799;-197.89364;-20.35739
0.11228;1.22209;-197.81554;-19.21803
0.15175;1.54064;-197.86597;-19.94352
-1.24518;1.52306;-197.85328;-20.30452
0.16327;1.60652;-197.55898;-19.91738
0.28722;1.40293;-195.63932;-19.06254
0.50528;1.32424;-199.69562;-18.89481
0.53913;1.34666;-198.79438;-18.8271
-0.77819;2.06274;-197.41528;-21.19137
0.50724;1.28454;-195.5465;-18.51974
0.0696;1.34127;-198.25823;-19.80277
0.13887;1.18445;-197.23269;-18.91861
0.14822;1.27711;-199.26485;-19.19507
0.09174;1.07276;-197.96622;-19.50517
0.42742;1.08218;-199.41486;-18.90293
0.34113;1.07479;-199.39385;-18.85633
0.03461;1.40331;-198.04124;-19.7793
0.11916;0.79571;-199.42874;-18.84616
-0.34391;-0.08241;-198.66513;-18.98626
0.44626;1.19028;-198.73965;-18.822
-2.03096;2.61454;-197.35326;-22.28713
-1.03909;1.82305;-197.61422;-20.63085
-1.9646;2.11208;-198.0592;-20.80351
0.44713;1.22934;-195.32812;-18.50514
0.37998;1.43873;-199.56024;-19.12339
-1.43563;1.64475;-197.30459;-20.09751
-0.09453;-0.04341;-198.63011;-18.86628
0.54623;1.35861;-199.23871;-18.86864
0.40732;1.35701;-196.68199;-18.87444
0.47448;1.23745;-195.56139;-18.53427
0.44506;1.15031;-197.86531;-18.74638
-0.1043;1.42238;-198.0819;-19.79857
0.41517;1.18859;-195.03908;-18.46203
0.36292;0.98521;-199.6239;-18.92629
0.29355;1.04814;-195.64988;-18.47829
0.51582;1.28888;-199.17074;-18.86668
-0.5874;2.03186;-197.60247;-21.26974
0.45422;1.14344;-199.15584;-18.87471
-1.07686;1.7255;-197.38739;-20.76938
0.45894;1.42054;-199.21851;-19.03074
0.05672;0.9783;-199.09544;-19.0019
-0.15826;1.5419;-197.39926;-20.10421
-1.53366;0.73307;-197.55433;-19.96296
0.42696;1.18084;-197.30695;-18.69678
0.51624;1.31601;-199.43546;-18.88888
0.39661;1.0988;-196.41655;-18.61881
0.48112;1.22538;-196.28745;-18.59422
0.31065;0.89475;-196.96452;-18.6687
0.31312;1.50106;-197.08546;-19.63949
0.53792;1.34345;-199.34519;-18.87865
